id, property
318 , http://dbpedia.org/ontology/Country/governmentType
319 , http://dbpedia.org/ontology/Cricketer/country
320 , http://dbpedia.org/ontology/Cricketer/debutDate
321 , http://dbpedia.org/ontology/Cricketer/debutYear
322 , http://dbpedia.org/ontology/Cricketer/fc
323 , http://dbpedia.org/ontology/Cricketer/fcRuns
324 , http://dbpedia.org/ontology/Cricketer/lastDate
325 , http://dbpedia.org/ontology/Cricketer/lastYear
326 , http://dbpedia.org/ontology/Currency/usingcountry
327 , http://dbpedia.org/ontology/Device/manufacturer
328 , http://dbpedia.org/ontology/Device/predecessor
329 , http://dbpedia.org/ontology/Device/productionEndDate
330 , http://dbpedia.org/ontology/Device/productionStartDate
331 , http://dbpedia.org/ontology/Device/successor
332 , http://dbpedia.org/ontology/Disease/diseasesdb
333 , http://dbpedia.org/ontology/Disease/emedicineSubject
334 , http://dbpedia.org/ontology/Disease/emedicineTopic
335 , http://dbpedia.org/ontology/Disease/icd10
336 , http://dbpedia.org/ontology/Disease/icd9
337 , http://dbpedia.org/ontology/Disease/icdo
338 , http://dbpedia.org/ontology/Disease/medlineplus
339 , http://dbpedia.org/ontology/Disease/meshId
340 , http://dbpedia.org/ontology/Disease/omim
341 , http://dbpedia.org/ontology/Drug/atcPrefix
342 , http://dbpedia.org/ontology/Drug/atcSuffix
343 , http://dbpedia.org/ontology/Drug/atcSupplemental
344 , http://dbpedia.org/ontology/Drug/boilingPoint
345 , http://dbpedia.org/ontology/Drug/casNumber
346 , http://dbpedia.org/ontology/Drug/casSupplemental
347 , http://dbpedia.org/ontology/Drug/drugbank
348 , http://dbpedia.org/ontology/Drug/iupacName
349 , http://dbpedia.org/ontology/Drug/meltingPoint
350 , http://dbpedia.org/ontology/Drug/pubchem
351 , http://dbpedia.org/ontology/EducationalInstitution/city
352 , http://dbpedia.org/ontology/EducationalInstitution/closed
353 , http://dbpedia.org/ontology/EducationalInstitution/colours
354 , http://dbpedia.org/ontology/EducationalInstitution/coordinates
355 , http://dbpedia.org/ontology/EducationalInstitution/country
356 , http://dbpedia.org/ontology/EducationalInstitution/county
357 , http://dbpedia.org/ontology/EducationalInstitution/dean
358 , http://dbpedia.org/ontology/EducationalInstitution/director
359 , http://dbpedia.org/ontology/EducationalInstitution/established
360 , http://dbpedia.org/ontology/EducationalInstitution/graduates
361 , http://dbpedia.org/ontology/EducationalInstitution/head
362 , http://dbpedia.org/ontology/EducationalInstitution/mascot
363 , http://dbpedia.org/ontology/EducationalInstitution/nickname
364 , http://dbpedia.org/ontology/EducationalInstitution/principal
365 , http://dbpedia.org/ontology/EducationalInstitution/province
366 , http://dbpedia.org/ontology/EducationalInstitution/rector
367 , http://dbpedia.org/ontology/EducationalInstitution/sport
368 , http://dbpedia.org/ontology/EducationalInstitution/staff
369 , http://dbpedia.org/ontology/EducationalInstitution/state
370 , http://dbpedia.org/ontology/EducationalInstitution/students
371 , http://dbpedia.org/ontology/EducationalInstitution/superintendent
372 , http://dbpedia.org/ontology/EducationalInstitution/undergraduates
373 , http://dbpedia.org/ontology/Embryology/system
