Infobox_settlement,population_density_km2,Ficha_de_entidad_subnacional,población,dbo:populationDensity,dbo:populationTotal,Correctly different mappings,xsd:double,xsd:nonNegativeInteger,0.0007,0.8823,0.9978,0,30256,21,26695,30188,0,30256,30256
Infobox_settlement,elevation_ft,Ficha_de_entidad_subnacional,población,dbo:elevation,dbo:populationTotal,Correctly different mappings,xsd:double,xsd:nonNegativeInteger,0.0006,0.8908,0.982,0,36512,21,32526,35853,0,36512,36512
Infobox_Scottish_island,highest_elevation,Ficha_de_isla,altitud,dbo:maximumElevation,dbo:elevation,Correctly different mappings,xsd:double,xsd:double,1,0,0,0,21,21,0,0,0,21,21
Infobox_rail_line,linelength,Ficha_de_transporte_público,longitud,dbo:lineLength,dbo:length,Correct - Can be specialized,xsd:double,xsd:double,0.38,0.26,0,0,50,19,13,0,0,50,50
Infobox_Station,code,Ficha_de_estación,código,dbo:agencyStationCode,dbo:code,Correct - Can be specialized,xsd:string,xsd:string,0.95,0.05,0,0,20,19,1,0,0,20,20
Infobox_Olympics_Canada,bronze,Ficha_de_país_en_los_Juegos_Olímpicos,oro,dbo:numberOfBronzeMedalsWon,dbo:numberOfGoldMedalsWon,Correctly different mappings,xsd:nonNegativeInteger,xsd:nonNegativeInteger,0.3778,0.6222,0.6222,0.6444,45,17,28,28,29,45,45
Infobox_color,c,Ficha_de_color,k,dbo:cmykCoordinateCyanic,dbo:cmykCoordinateBlack,Correctly different mappings,xsd:integer,xsd:integer,0.3617,0.6383,0.766,0.7234,47,17,30,36,34,47,47
Infobox_settlement,population_density_sq_mi,Ficha_de_entidad_subnacional,población,dbo:populationDensity,dbo:populationTotal,Correctly different mappings,xsd:double,xsd:nonNegativeInteger,0.0005,0.7916,0.9978,0,30256,16,23950,30188,0,30256,30256
Infobox_Olympics_Canada,gold,Ficha_de_país_en_los_Juegos_Olímpicos,bronce,dbo:numberOfGoldMedalsWon,dbo:numberOfBronzeMedalsWon,Correctly different mappings,xsd:nonNegativeInteger,xsd:nonNegativeInteger,0.3556,0.6444,0.6222,0.6444,45,16,29,28,29,45,45
Infobox_non-profit,founded_date,Ficha_de_organización,fundación,dbo:foundingYear,dbo:formationYear,Wrong Mapping - Ontology Issue,xsd:gYear,xsd:gYear,0.8,0.2,0,0,20,16,4,0,0,20,20
