dbo:hubAirport,dbo:locationCity,dbo:Airline,dbo:Airline,dbo:Airline,dbo:Organisation,dbo:Airport,dbo:City,
dbo:hubAirport,dbo:locationCountry,dbo:Airline,dbo:Airline,dbo:Airline,,dbo:Airport,dbo:Country,
dbo:parent,dbo:predecessor,dbo:Noble,,dbo:Person,,dbo:Person,,
dbo:nationality,dbo:deathPlace,dbo:Artist,dbo:Person,dbo:Person,dbo:Person,dbo:Country,dbo:Place,
dbo:recordLabel,dbo:bandMember,dbo:MusicalArtist,dbo:Band,,dbo:Band,dbo:RecordLabel,dbo:Person,
dbo:genre,dbo:bandMember,dbo:MusicalArtist,dbo:Band,,dbo:Band,dbo:Genre,dbo:Person,
dbo:country,dbo:birthPlace,dbo:Scientist,dbo:Person,,dbo:Person,dbo:Country,dbo:Place,
dbo:country,dbo:archipelago,dbo:Island,dbo:Island,,dbo:Island,dbo:Country,,
dbo:cinematography,dbo:musicComposer,dbo:Film,dbo:Film,dbo:Film,dbo:Work,dbo:Person,dbo:MusicalArtist,
dbo:nationalTeam,dbo:birthPlace,dbo:Athlete,dbo:BasketballPlayer,dbo:Athlete,dbo:Person,dbo:SportsTeam,dbo:Place,
dbo:deathPlace,dbo:successor,dbo:Noble,,dbo:Person,,dbo:Place,,
dbo:deathPlace,dbo:predecessor,dbo:Noble,,dbo:Person,,dbo:Place,,
dbo:season,dbo:league,dbo:SoccerClub,dbo:SoccerClub,dbo:Agent,,,dbo:SportsLeague,
dbo:university,dbo:college,dbo:Athlete,dbo:BasketballPlayer,dbo:Person,dbo:Person,dbo:EducationalInstitution,dbo:EducationalInstitution,
dbo:militaryRank,dbo:birthPlace,dbo:MilitaryPerson,dbo:Person,dbo:MilitaryPerson,dbo:Person,,dbo:Place,
dbo:birthPlace,dbo:deathPlace,dbo:Artist,dbo:Person,dbo:Person,dbo:Person,dbo:Place,dbo:Place,
dbo:cinematography,dbo:writer,dbo:Film,dbo:Film,dbo:Film,dbo:Work,dbo:Person,dbo:Person,
dbo:birthPlace,dbo:predecessor,dbo:Noble,,dbo:Person,,dbo:Place,,
dbo:writer,dbo:album,dbo:Single,dbo:Single,dbo:Work,,dbo:Person,dbo:Album,
